Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Mail-in_ballots,Mail-in_votes,Mail-in_under_votes,Mail-in_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Provisional_ballots,Provisional_votes,Provisional_under_votes,Provisional_over_votes
Bridgeport 3,,1,0,6,6,953,0.8,1,1,Presidential Electors,,1,2,DONALD J TRUMP,C,2,REP,761,249,1,2,505,217,1,2,254,32,0,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,1,1,Presidential Electors,,1,3,JO JORGENSEN,C,3,LIB,761,3,1,2,505,3,1,2,254,0,0,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,2,2,Attorney General,,1,6,JOSH SHAPIRO,C,5,DEM,761,500,11,0,505,286,11,0,254,212,0,0,0,0,0,0,2,2,0,0
Bridgeport 3,,1,0,6,6,953,0.8,2,2,Attorney General,,1,7,HEATHER HEIDELBAUGH,C,6,REP,761,223,11,0,505,191,11,0,254,32,0,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,2,2,Attorney General,,1,8,DANIEL WASSMER,C,7,LIB,761,20,11,0,505,13,11,0,254,7,0,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,2,2,Attorney General,,1,9,RICHARD L WEISS,C,8,GRE,761,7,11,0,505,4,11,0,254,3,0,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,3,3,Auditor General,,1,11,NINA AHMAD,C,10,DEM,761,458,18,0,505,256,16,0,254,200,2,0,0,0,0,0,2,2,0,0
Bridgeport 3,,1,0,6,6,953,0.8,3,3,Auditor General,,1,12,TIMOTHY DEFOOR,C,11,REP,761,236,18,0,505,201,16,0,254,35,2,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,3,3,Auditor General,,1,13,JENNIFER MOORE,C,12,LIB,761,34,18,0,505,26,16,0,254,8,2,0,0,0,0,0,2,0,0,0
Bridgeport 3,,1,0,6,6,953,0.8,3,3,Auditor General,,1,14,OLIVIA FAISON,C,13,GRE,761,15,18,0,505,6,16,0,254,9,2,0,0,0,0,0,2,0,0,0
